Name	 thread	 size	 Total_ops
MMMC 	16	1	33007954
MMMC 	16	10	32739774
MMMC 	16	100	32834884
MMMC 	16	1000	32744975
MMMC 	16	10000	31161777
MMMC 	16	100000	21816802
MMMC 	16	50000	26309939
MMMC 	1	1	155674794
MMMC 	1	10	155437094
MMMC 	1	100	148142036
MMMC 	1	1000	117024766
MMMC 	1	10000	36150538
MMMC 	1	100000	4594249
MMMC 	1	50000	8911173
MMMC 	2	1	150110894
MMMC 	2	10	148679306
MMMC 	2	100	148295532
MMMC 	2	1000	122331570
MMMC 	2	10000	59430723
MMMC 	2	100000	8789898
MMMC 	2	50000	16896320
MMMC 	32	1	33480348
MMMC 	32	10	33288942
MMMC 	32	100	33598494
MMMC 	32	1000	33095543
MMMC 	32	10000	32567599
MMMC 	32	100000	26596656
MMMC 	32	50000	29373953
MMMC 	4	1	144208122
MMMC 	4	10	142840554
MMMC 	4	100	140390010
MMMC 	4	1000	111276391
MMMC 	4	10000	92663889
MMMC 	4	100000	16332763
MMMC 	4	50000	30229058
MMMC 	8	1	72804558
MMMC 	8	10	100045834
MMMC 	8	100	79449927
MMMC 	8	1000	38812983
MMMC 	8	10000	28746429
MMMC 	8	100000	15459243
MMMC 	8	50000	21406319
