Name	 thread	 size	 Total_ops	speed
MMMC 	1	100000	4594249	153141
MMMC 	1	50000	8911173	297039
MMMC 	1	10000	36150538	1205017
MMMC 	1	1000	117024766	3900825
MMMC 	1	100	148142036	4938067
MMMC 	1	10	155437094	5181236
MMMC 	1	1	155674794	5189159
MMMC 	2	100000	8789898	292996
MMMC 	2	50000	16896320	563210
MMMC 	2	10000	59430723	1981024
MMMC 	2	1000	122331570	4077719
MMMC 	2	100	148295532	4943184
MMMC 	2	10	148679306	4955976
MMMC 	2	1	150110894	5003696
MMMC 	4	100000	16332763	544425
MMMC 	4	50000	30229058	1007635
MMMC 	4	10000	92663889	3088796
MMMC 	4	1000	111276391	3709213
MMMC 	4	100	140390010	4679667
MMMC 	4	10	142840554	4761351
MMMC 	4	1	144208122	4806937
MMMC 	8	100000	15459243	515308
MMMC 	8	50000	21406319	713543
MMMC 	8	10000	28746429	958214
MMMC 	8	1000	38812983	1293766
MMMC 	8	1	72804558	2426818
MMMC 	8	100	79449927	2648330
MMMC 	8	10	100045834	3334861
MMMC 	16	100000	21816802	727226
MMMC 	16	50000	26309939	876997
MMMC 	16	10000	31161777	1038725
MMMC 	16	10	32739774	1091325
MMMC 	16	1000	32744975	1091499
MMMC 	16	100	32834884	1094496
MMMC 	16	1	33007954	1100265
MMMC 	32	100000	26596656	886555
MMMC 	32	50000	29373953	979131
MMMC 	32	10000	32567599	1085586
MMMC 	32	1000	33095543	1103184
MMMC 	32	10	33288942	1109631
MMMC 	32	1	33480348	1116011
MMMC 	32	100	33598494	1119949
