Name	 thread	 size	 Total_ops
MMMC 	8	100000	752302
MMMC 	32	100000	755486
MMMC 	16	100000	756363
MMMC 	4	100000	760734
MMMC 	2	100000	802163
MMMC 	1	100000	829073
MMMC 	32	50000	1386242
MMMC 	8	50000	1391978
MMMC 	16	50000	1394714
MMMC 	4	50000	1480700
MMMC 	2	50000	1574084
MMMC 	1	50000	1643537
MMMC 	32	10000	4088731
MMMC 	16	10000	4441623
MMMC 	8	10000	5875635
MMMC 	4	10000	6650090
MMMC 	2	10000	7185359
MMMC 	1	10000	7523153
MMMC 	32	1000	8763872
MMMC 	32	1	10419589
MMMC 	32	100	11020362
MMMC 	32	10	11692736
MMMC 	16	10	13198819
MMMC 	16	1000	16810193
MMMC 	16	1	20505947
MMMC 	16	100	23059863
MMMC 	8	1000	31831701
MMMC 	4	1000	34202904
MMMC 	2	1000	37022882
MMMC 	1	1000	39270188
MMMC 	8	100	53928190
MMMC 	8	1	56500922
MMMC 	8	10	57348635
MMMC 	4	100	58244855
MMMC 	4	10	62263997
MMMC 	4	1	62894901
MMMC 	2	100	63965283
MMMC 	1	100	67338826
MMMC 	2	10	68977938
MMMC 	2	1	69440525
MMMC 	1	10	72523586
MMMC 	1	1	73520566
